Name	energy/eV	pauling1	ionization1	affinity1	bulknn1	rd1	coupling_m1	work_function1	pauling2	ionization2	affinity2	bulknn2	rd2	coupling_m2	work_function2	d_center	d_skew	d_kurt	d_fill	sp_fill
Rh/Cu(111)	-1.6481	2.28	7.459	1.143	2.704	0.99	3.32	5.078	1.9	7.726	1.236	2.5652	0.67	1	4.719	-1.5702	2.0252	1.6461	7.6816	1.0438
Ni/Cu(111)	-1.6823	1.91	7.64	1.157	2.4842	0.71	1.16	4.945	1.9	7.726	1.236	2.5652	0.67	1	4.719	-0.6771	18.2612	3.8913	8.0828	0.7483
Au/Pt(111)	-0.2237	2.54	9.226	2.309	2.9373	1.01	3.35	5.28	2.28	8.959	2.125	2.8038	1.04	3.9	5.75	-3.0242	4.2916	2.1658	8.5282	0.8455
Ag/Pt(111)	-0.2081	1.93	7.576	1.304	2.9261	0.89	2.26	4.427	2.28	8.959	2.125	2.8038	1.04	3.9	5.75	-3.5759	16.9582	3.6223	9.4344	0.6691
Cu/Pt(111)	-1.0818	1.9	7.726	1.236	2.5652	0.67	1	4.719	2.28	8.959	2.125	2.8038	1.04	3.9	5.75	-1.7016	22.3843	4.5503	10.0523	0.6247
Pd/Pt(111)	-1.4017	2.2	8.337	0.562	2.7846	0.94	2.78	5.21	2.28	8.959	2.125	2.8038	1.04	3.9	5.75	-1.6485	3.5637	2.1192	8.9828	0.8256
Ir/Pt(111)	-2.5448	2.2	9.121	1.564	2.7388	1.08	4.45	5.489	2.28	8.959	2.125	2.8038	1.04	3.9	5.75	-1.5709	5.1012	2.1546	6.5542	1.0783
Rh/Pt(111)	-2.1206	2.28	7.459	1.143	2.704	0.99	3.32	5.078	2.28	8.959	2.125	2.8038	1.04	3.9	5.75	-1.384	2.582	1.8606	7.4347	0.8138
Ni/Pt(111)	-1.9398	1.91	7.64	1.157	2.4842	0.71	1.16	4.945	2.28	8.959	2.125	2.8038	1.04	3.9	5.75	-1.0288	9.2163	3.0258	8.18	0.663
Au/Pd(111)	-0.1873	2.54	9.226	2.309	2.9373	1.01	3.35	5.28	2.2	8.337	0.562	2.7846	0.94	2.78	5.21	-3.0926	7.0701	2.4773	8.9135	0.9284
Ag/Pd(111)	-0.2253	1.93	7.576	1.304	2.9261	0.89	2.26	4.427	2.2	8.337	0.562	2.7846	0.94	2.78	5.21	-3.5459	14.3116	3.4245	8.8011	0.6863
Cu/Pd(111)	-0.9897	1.9	7.726	1.236	2.5652	0.67	1	4.719	2.2	8.337	0.562	2.7846	0.94	2.78	5.21	-1.5816	15.4351	3.6961	8.8158	0.6153
Pt/Pd(111)	-1.6418	2.28	8.959	2.125	2.8038	1.04	3.9	5.75	2.2	8.337	0.562	2.7846	0.94	2.78	5.21	-1.782	1.0126	1.4615	8.3373	1.1251
Ir/Pd(111)	-2.3582	2.2	9.121	1.564	2.7388	1.08	4.45	5.489	2.2	8.337	0.562	2.7846	0.94	2.78	5.21	-1.5309	2.9796	1.6984	6.6789	1.091
Rh/Pd(111)	-2.1297	2.28	7.459	1.143	2.704	0.99	3.32	5.078	2.2	8.337	0.562	2.7846	0.94	2.78	5.21	-1.3476	3.0209	1.7859	7.5626	0.8344
Ni/Pd(111)	-1.8959	1.91	7.64	1.157	2.4842	0.71	1.16	4.945	2.2	8.337	0.562	2.7846	0.94	2.78	5.21	-1.0008	7.7877	2.7552	8.5124	0.7033
Au/Ir(111)	-0.2736	2.54	9.226	2.309	2.9373	1.01	3.35	5.28	2.2	9.121	1.564	2.7388	1.08	4.45	5.489	-3.4575	3.0523	1.9015	7.6123	0.888
Ag/Ir(111)	-0.3094	1.93	7.576	1.304	2.9261	0.89	2.26	4.427	2.2	9.121	1.564	2.7388	1.08	4.45	5.489	-3.9068	6.2027	2.5214	8.9052	0.7442
Cu/Ir(111)	-1.057	1.9	7.726	1.236	2.5652	0.67	1	4.719	2.2	9.121	1.564	2.7388	1.08	4.45	5.489	-1.9534	21.9555	4.3691	9.9166	0.7207
Pt/Ir(111)	-1.3053	2.28	8.959	2.125	2.8038	1.04	3.9	5.75	2.2	9.121	1.564	2.7388	1.08	4.45	5.489	-2.4388	4.9982	2.03	7.9011	1.2172
Pd/Ir(111)	-1.2529	2.2	8.337	0.562	2.7846	0.94	2.78	5.21	2.2	9.121	1.564	2.7388	1.08	4.45	5.489	-2.0617	23.3032	3.7259	8.4597	0.9067
Rh/Ir(111)	-1.9162	2.28	7.459	1.143	2.704	0.99	3.32	5.078	2.2	9.121	1.564	2.7388	1.08	4.45	5.489	-1.619	29.9483	4.1786	7.7751	0.8667
Ni/Ir(111)	-1.8269	1.91	7.64	1.157	2.4842	0.71	1.16	4.945	2.2	9.121	1.564	2.7388	1.08	4.45	5.489	-1.1404	9.711	3.0993	9.1337	0.7379
